date,team,assists,ats margin,ats streak,biggest lead,blocks,conference,defensive rebounds,fast break points,field goals attempted,field goals made,fouls,free throws attempted,free throws made,game number,line,losses,margin,margin after the first,margin after the third,margin at the half,matchup losses,matchup wins,offensive rebounds,playoffs,points,points in the paint,position,rebounds,rest,season,steals,streak,team rebounds,three pointers attempted,three pointers made,total,turnovers,wins,o:team,o:assists,o:ats margin,o:ats streak,o:biggest lead,o:blocks,o:conference,o:defensive rebounds,o:fast break points,o:field goals attempted,o:field goals made,o:fouls,o:free throws attempted,o:free throws made,o:game number,o:line,o:losses,o:margin,o:margin after the first,o:margin after the third,o:margin at the half,o:matchup losses,o:matchup wins,o:offensive rebounds,o:playoffs,o:points,o:points in the paint,o:position,o:rebounds,o:rest,o:season,o:steals,o:streak,o:team rebounds,o:three pointers attempted,o:three pointers made,o:total,o:turnovers,o:wins
20101028,Wizards,17,-15,0,0,3,Eastern,22,22,78,29,25,30,21,1,14,0,-29,-14,-31,-24,0,0,3,0,83,28,0,25,0,2010,10,0,14,19,4,191.5,13,0,Magic,20,15,0,35,3,Eastern,42,14,77,43,22,32,18,1,-14,0,29,14,31,24,0,0,11,0,112,56,0,53,0,2010,5,0,14,24,8,191.5,21,0
20101029,Hornets,17,-8.5,-1,11,7,Eastern,30,7,70,31,21,45,35,2,-5.5,1,-3,4,7,8,0,0,15,0,101,42,0,45,1,2010,3,-1,10,12,4,195,17,0,Pacers,25,8.5,-1,5,11,Eastern,25,3,80,36,28,24,20,2,5.5,1,3,-4,-7,-8,0,0,9,0,104,30,0,34,1,2010,5,-1,8,29,12,195,10,0
20101029,Pacers,25,8.5,-1,5,11,Eastern,25,3,80,36,28,24,20,2,5.5,1,3,-4,-7,-8,0,0,9,0,104,30,0,34,1,2010,5,-1,8,29,12,195,10,0,Hornets,17,-8.5,-1,11,7,Eastern,30,7,70,31,21,45,35,2,-5.5,1,-3,4,7,8,0,0,15,0,101,42,0,45,1,2010,3,-1,10,12,4,195,17,0
20101029,Celtics,33,-5,-1,12,1,Eastern,40,8,91,44,23,18,12,3,-9,1,4,7,7,4,0,0,14,0,105,54,0,54,1,2010,2,-1,10,16,5,196.5,17,1,Knicks,24,5,1,9,9,Eastern,29,16,85,37,20,27,18,2,9,0,-4,-7,-7,-4,0,0,9,0,101,38,0,38,1,2010,8,1,8,27,9,196.5,10,1
20101029,Knicks,24,5,1,9,9,Eastern,29,16,85,37,20,27,18,2,9,0,-4,-7,-7,-4,0,0,9,0,101,38,0,38,1,2010,8,1,8,27,9,196.5,10,1,Celtics,33,-5,-1,12,1,Eastern,40,8,91,44,23,18,12,3,-9,1,4,7,7,4,0,0,14,0,105,54,0,54,1,2010,2,-1,10,16,5,196.5,17,1
20101029,Heat,17,22.5,1,27,5,Eastern,37,10,81,33,27,27,21,3,-3.5,1,26,0,24,6,0,0,14,0,96,20,0,51,1,2010,6,1,9,18,9,187,12,1,Magic,5,-22.5,1,3,3,Eastern,32,0,69,21,20,34,24,2,3.5,0,-26,0,-24,-6,0,0,8,0,70,18,0,40,0,2010,5,1,12,24,4,187,14,1
20101029,Magic,5,-22.5,1,3,3,Eastern,32,0,69,21,20,34,24,2,3.5,0,-26,0,-24,-6,0,0,8,0,70,18,0,40,0,2010,5,1,12,24,4,187,14,1,Heat,17,22.5,1,27,5,Eastern,37,10,81,33,27,27,21,3,-3.5,1,26,0,24,6,0,0,14,0,96,20,0,51,1,2010,6,1,9,18,9,187,12,1
20101029,Pelicans,23,7,1,16,8,Western,24,13,77,38,22,24,19,2,1,0,6,2,1,9,0,0,11,0,101,42,0,35,1,2010,11,1,5,17,6,207.5,15,1,Nuggets,19,-7,1,8,2,Western,26,6,72,35,22,25,19,2,-1,0,-6,-2,-1,-9,0,0,11,0,95,34,0,37,1,2010,9,1,10,15,6,207.5,19,1
20101029,Nuggets,19,-7,1,8,2,Western,26,6,72,35,22,25,19,2,-1,0,-6,-2,-1,-9,0,0,11,0,95,34,0,37,1,2010,9,1,10,15,6,207.5,19,1,Pelicans,23,7,1,16,8,Western,24,13,77,38,22,24,19,2,1,0,6,2,1,9,0,0,11,0,101,42,0,35,1,2010,11,1,5,17,6,207.5,15,1
20101029,Mavericks,24,-11.5,1,11,6,Western,37,13,72,34,22,24,16,2,-10.5,0,-1,5,6,9,0,0,8,0,90,30,0,45,1,2010,7,1,7,18,6,200,18,1,Grizzlies,17,11.5,-1,4,3,Western,31,12,80,31,24,36,25,2,10.5,1,1,-5,-6,-9,0,0,14,0,91,34,0,45,1,2010,11,-1,9,15,4,200,13,0
20101029,Grizzlies,17,11.5,-1,4,3,Western,31,12,80,31,24,36,25,2,10.5,1,1,-5,-6,-9,0,0,14,0,91,34,0,45,1,2010,11,-1,9,15,4,200,13,0,Mavericks,24,-11.5,1,11,6,Western,37,13,72,34,22,24,16,2,-10.5,0,-1,5,6,9,0,0,8,0,90,30,0,45,1,2010,7,1,7,18,6,200,18,1
20101029,Nets,18,4,-1,18,4,Eastern,38,10,61,32,30,45,36,2,-2,0,6,8,-1,8,0,0,5,0,106,34,0,43,1,2010,2,1,14,11,6,198,26,1,Kings,21,-4,1,8,3,Western,21,17,93,39,32,26,17,2,2,0,-6,-8,1,-8,0,0,10,0,100,44,0,31,1,2010,7,1,13,20,5,198,12,1
20101029,Kings,21,-4,1,8,3,Western,21,17,93,39,32,26,17,2,2,0,-6,-8,1,-8,0,0,10,0,100,44,0,31,1,2010,7,1,13,20,5,198,12,1,Nets,18,4,-1,18,4,Eastern,38,10,61,32,30,45,36,2,-2,0,6,8,-1,8,0,0,5,0,106,34,0,43,1,2010,2,1,14,11,6,198,26,1
20101029,Pistons,16,5,1,6,7,Eastern,28,7,85,40,27,20,16,2,6,1,-1,-5,-4,-5,0,0,15,0,104,42,0,43,1,2010,1,-1,6,12,8,195,18,0,Thunder,16,-5,1,12,4,Western,29,23,85,33,20,44,37,2,-6,0,1,5,4,5,0,0,18,0,105,48,0,47,1,2010,14,1,12,15,2,195,12,1
20101029,Thunder,16,-5,1,12,4,Western,29,23,85,33,20,44,37,2,-6,0,1,5,4,5,0,0,18,0,105,48,0,47,1,2010,14,1,12,15,2,195,12,1,Pistons,16,5,1,6,7,Eastern,28,7,85,40,27,20,16,2,6,1,-1,-5,-4,-5,0,0,15,0,104,42,0,43,1,2010,1,-1,6,12,8,195,18,0
20101029,Raptors,24,16.5,-1,23,5,Eastern,35,26,82,39,19,18,17,2,-3.5,1,20,4,22,8,0,0,11,0,101,40,0,46,1,2010,11,-1,11,20,6,195,19,0,Cavaliers,15,-16.5,1,2,2,Eastern,24,16,84,32,19,10,8,2,3.5,0,-20,-4,-22,-8,0,0,9,0,81,42,0,33,1,2010,9,1,8,19,9,195,19,1
20101029,Cavaliers,15,-16.5,1,2,2,Eastern,24,16,84,32,19,10,8,2,3.5,0,-20,-4,-22,-8,0,0,9,0,81,42,0,33,1,2010,9,1,8,19,9,195,19,1,Raptors,24,16.5,-1,23,5,Eastern,35,26,82,39,19,18,17,2,-3.5,1,20,4,22,8,0,0,11,0,101,40,0,46,1,2010,11,-1,11,20,6,195,19,0
20101029,Seventysixers,24,0.5,-1,9,6,Eastern,24,29,85,35,21,33,26,2,3.5,1,-3,-3,-10,-10,0,0,12,0,101,42,0,36,1,2010,9,-1,9,11,5,193.5,8,0,Hawks,24,-0.5,1,15,8,Eastern,36,8,70,36,26,31,26,2,-3.5,0,3,3,10,10,0,0,10,0,104,40,0,46,1,2010,3,1,5,17,6,193.5,20,1
20101029,Hawks,24,-0.5,1,15,8,Eastern,36,8,70,36,26,31,26,2,-3.5,0,3,3,10,10,0,0,10,0,104,40,0,46,1,2010,3,1,5,17,6,193.5,20,1,Seventysixers,24,0.5,-1,9,6,Eastern,24,29,85,35,21,33,26,2,3.5,1,-3,-3,-10,-10,0,0,12,0,101,42,0,36,1,2010,9,-1,9,11,5,193.5,8,0
20101029,Suns,21,-2.5,1,1,7,Western,31,21,93,44,14,13,9,3,5.5,1,-8,-1,-8,-7,0,0,12,0,106,50,0,43,0,2010,4,1,9,24,9,208.5,10,1,Lakers,21,2.5,-1,13,3,Western,33,15,95,46,14,12,10,2,-5.5,0,8,1,8,7,0,0,13,0,114,42,0,46,2,2010,8,1,6,27,12,208.5,10,1
20101029,Lakers,21,2.5,-1,13,3,Western,33,15,95,46,14,12,10,2,-5.5,0,8,1,8,7,0,0,13,0,114,42,0,46,2,2010,8,1,6,27,12,208.5,10,1,Suns,21,-2.5,1,1,7,Western,31,21,93,44,14,13,9,3,5.5,1,-8,-1,-8,-7,0,0,12,0,106,50,0,43,0,2010,4,1,9,24,9,208.5,10,1
20101029,Timberwolves,13,15.5,-1,17,11,Western,42,15,85,32,27,36,26,2,4.5,1,11,-1,10,9,0,0,20,0,96,36,0,62,1,2010,8,-1,12,22,6,202,18,0,Bucks,18,-15.5,-1,8,5,Eastern,30,10,87,31,29,25,20,2,-4.5,1,-11,1,-10,-9,0,0,9,0,85,34,0,39,1,2010,4,-1,11,20,3,202,13,0
